playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
aardsda01,2010,1,SEA,AL,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2010,1,HOU,NL,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abreubo01,2010,1,LAA,AL,154,573,88,146,41,1,20,78,24,10,87,132,3,2,0,5,13
abreuto01,2010,1,ARI,NL,81,193,16,45,11,1,1,13,2,1,4,47,0,0,0,4,8
accarje01,2010,1,TOR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aceveal01,2010,1,NYA,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acostma01,2010,1,NYN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsmi03,2010,1,SDN,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affelje01,2010,1,SFN,NL,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
albaljo01,2010,1,NYA,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberma01,2010,1,BAL,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aldrico01,2010,1,LAA,AL,5,13,0,1,0,1,0,1,0,0,0,5,0,0,0,0,0
alfonel01,2010,1,SEA,AL,13,41,4,9,1,0,1,4,0,0,0,10,0,0,0,0,2
allenbr01,2010,1,ARI,NL,22,45,5,12,3,0,1,6,0,0,10,20,1,0,0,1,0
alonsyo01,2010,1,CIN,NL,22,29,2,6,2,0,0,3,0,0,0,10,0,0,0,0,1
alvarpe01,2010,1,PIT,NL,95,347,42,89,21,1,16,64,0,0,37,119,1,0,0,2,8
ambrihe01,2010,1,CLE,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderbr04,2010,1,OAK,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderbr05,2010,1,SLN,NL,15,32,1,9,2,0,0,4,0,0,1,7,0,1,0,1,0
anderga01,2010,1,LAN,NL,80,155,8,28,6,1,2,12,1,0,5,34,1,0,1,2,6
anderla03,2010,1,BOS,AL,18,35,4,7,1,0,0,4,0,0,7,8,0,0,0,1,1
andinro01,2010,1,BAL,AL,16,61,6,18,4,0,2,6,1,1,3,13,0,1,0,1,3
andruel01,2010,1,TEX,AL,148,588,88,156,15,3,0,35,32,15,64,96,0,5,17,0,6
ankieri01,2010,1,KCA,AL,27,92,14,24,7,0,4,15,1,0,7,29,0,1,0,1,2
arencjp01,2010,1,TOR,AL,11,35,3,5,1,0,2,4,0,0,2,11,0,0,0,0,0
ariasjo01,2010,1,TEX,AL,50,98,18,27,5,1,0,9,1,0,2,17,0,0,1,0,2
arrieja01,2010,1,BAL,AL,18,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
arroybr01,2010,1,CIN,NL,34,68,5,10,0,0,1,8,0,0,2,31,0,0,6,1,1
atchisc01,2010,1,BOS,AL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atilalu01,2010,1,WAS,NL,16,25,0,1,0,0,0,0,0,0,0,10,0,0,2,0,0
atkinga01,2010,1,BAL,AL,44,140,5,30,7,0,1,9,0,0,12,30,0,0,0,0,7
atkinmi01,2010,1,CHN,NL,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ausmubr01,2010,1,LAN,NL,21,63,4,14,2,0,0,2,0,0,7,15,1,1,0,0,3
avilaal01,2010,1,DET,AL,104,294,28,67,12,0,7,31,2,2,36,71,0,2,1,0,12
avilemi01,2010,1,KCA,AL,110,424,63,129,16,3,8,32,14,5,20,49,0,1,0,3,13
axforjo01,2010,1,MIL,NL,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aybarer01,2010,1,LAA,AL,138,534,69,135,18,4,5,29,22,8,35,81,1,7,11,2,7
aybarwi01,2010,1,TBA,AL,100,270,22,62,13,0,6,43,0,0,30,61,1,3,2,4,4
badenbu01,2010,1,FLO,NL,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baezda01,2010,1,PHI,NL,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bailean01,2010,1,OAK,AL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baileho02,2010,1,CIN,NL,19,33,1,7,0,0,0,2,0,0,2,15,0,0,4,0,1
bakerje03,2010,1,CHN,NL,79,206,29,56,13,2,4,21,1,0,16,50,0,1,0,1,6
bakerjo01,2010,1,FLO,NL,23,78,7,17,3,1,0,6,0,0,9,18,1,1,0,0,5
bakersc02,2010,1,MIN,AL,29,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
baldero01,2010,1,TBA,AL,10,24,3,5,1,0,1,5,1,0,1,5,0,0,0,0,1
balesco01,2010,1,WAS,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balfogr01,2010,1,TBA,AL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banksjo01,2010,1,HOU,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bannibr01,2010,1,KCA,AL,24,5,1,1,1,0,0,1,0,0,0,3,0,0,1,0,0
barajro01,2010,1,NYN,NL,74,249,30,56,11,0,12,34,0,0,8,39,3,6,1,3,4
bardda01,2010,1,BOS,AL,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bardebr01,2010,1,FLO,NL,35,28,2,5,0,0,0,3,0,2,3,12,0,1,0,0,0
bardjo01,2010,1,SEA,AL,39,112,9,24,7,0,3,10,0,0,10,27,0,0,3,1,4
barmecl01,2010,1,COL,NL,133,387,43,91,21,0,8,50,3,2,35,66,10,5,2,3,5
barneda01,2010,1,CHN,NL,30,79,12,19,4,0,0,2,0,0,6,12,0,0,0,0,0
bartlja01,2010,1,TBA,AL,135,468,71,119,27,3,4,47,11,6,45,83,1,5,11,3,6
bartoda02,2010,1,OAK,AL,159,556,79,152,33,5,10,57,7,3,110,102,2,3,12,5,8
bassbr01,2010,1,PIT,NL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bastaan01,2010,1,PHI,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batismi01,2010,1,WAS,NL,58,8,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0
bautide01,2010,1,SFN,NL,31,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
bautijo02,2010,1,TOR,AL,161,569,109,148,35,3,54,124,9,2,100,116,2,10,0,4,10
baxtemi01,2010,1,SDN,NL,9,8,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1
bayja01,2010,1,NYN,NL,95,348,48,90,20,6,6,47,10,0,44,91,3,5,0,4,7
beachbr01,2010,1,ATL,NL,3,5,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0
beckejo02,2010,1,BOS,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beckhgo01,2010,1,CHA,AL,131,444,58,112,25,2,9,49,4,6,37,92,0,7,6,4,9
beimejo01,2010,1,COL,NL,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
belisma01,2010,1,COL,NL,76,4,0,1,1,0,0,2,0,0,0,2,0,1,2,0,0
belisro01,2010,1,LAN,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bellhe01,2010,1,SDN,NL,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belliro01,2010,1,LAN,NL,82,162,24,35,10,1,2,19,2,2,18,35,1,1,2,2,4
belljo01,2010,1,BAL,AL,53,159,15,34,5,0,3,12,0,1,2,53,0,0,0,0,4
belltr01,2010,1,LAA,AL,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
beltrad01,2010,1,BOS,AL,154,589,84,189,49,2,28,102,2,1,40,82,10,5,0,7,25
beltrca01,2010,1,NYN,NL,64,220,21,56,11,3,7,27,3,1,30,39,5,1,0,4,4
beltrom01,2010,1,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benoijo01,2010,1,TBA,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bensokr01,2010,1,ARI,NL,3,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
bergebr02,2010,1,BAL,AL,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bergju01,2010,1,CHN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergmja01,2010,1,WAS,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeja01,2010,1,BAL,AL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkmla01,2010,1,HOU,NL,85,298,39,73,16,1,13,49,3,2,60,70,4,0,0,0,12
bernaro01,2010,1,WAS,NL,134,414,52,102,18,3,11,47,16,2,35,93,1,4,2,6,3
betanra01,2010,1,COL,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betanyu01,2010,1,KCA,AL,151,556,60,144,29,2,16,78,2,3,23,64,1,1,4,4,13
betemwi01,2010,1,KCA,AL,84,276,36,82,20,0,13,43,0,0,36,74,2,1,0,2,3
billich01,2010,1,LAN,NL,31,62,1,9,1,0,0,3,0,0,4,27,0,0,6,0,0
bisenjo01,2010,1,WAS,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackni01,2010,1,MIN,AL,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blakeca01,2010,1,LAN,NL,146,509,56,126,28,1,17,64,0,4,48,138,3,8,3,3,8
blaloha01,2010,1,TBA,AL,26,63,8,16,3,0,1,7,1,1,6,15,0,0,0,0,1
blancan01,2010,1,TEX,AL,68,166,17,46,10,1,0,13,0,2,11,24,1,3,3,2,0
blancgr01,2010,1,ATL,NL,36,58,9,18,1,1,0,3,1,2,8,15,1,0,0,0,2
blanche01,2010,1,NYN,NL,50,130,10,28,5,0,2,8,1,0,11,26,2,0,0,3,1
blankky01,2010,1,SDN,NL,33,102,14,16,6,1,3,15,1,0,15,46,0,3,0,0,1
blantjo01,2010,1,PHI,NL,29,59,8,7,0,0,0,1,0,0,1,24,0,2,5,0,3
blevije01,2010,1,OAK,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloomwi01,2010,1,KCA,AL,72,170,31,45,10,1,3,17,8,5,8,25,0,0,2,1,4
blumge01,2010,1,HOU,NL,93,202,22,54,10,1,2,22,0,0,15,33,2,1,0,0,3
bococbr01,2010,1,PHI,NL,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
boescbr01,2010,1,DET,AL,133,464,49,119,26,3,14,67,7,1,40,99,5,5,0,3,5
boggsbr01,2010,1,TEX,AL,4,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
boggsmi01,2010,1,SLN,NL,61,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
