playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
aardsda01,2010,1,SEA,AL,P,53,0,149,2,3,1,0,,,,,
abadfe01,2010,1,HOU,NL,P,22,0,57,0,3,0,0,,,,,
abreubo01,2010,1,LAA,AL,OF,134,134,3464,242,7,6,2,,,,,
abreuto01,2010,1,ARI,NL,2B,12,11,265,16,18,3,3,,,,,
abreuto01,2010,1,ARI,NL,3B,20,14,387,11,33,1,1,,,,,
abreuto01,2010,1,ARI,NL,SS,15,13,336,16,33,6,12,,,,,
accarje01,2010,1,TOR,AL,P,5,0,20,0,1,0,0,,,,,
aceveal01,2010,1,NYA,AL,P,10,0,36,0,2,0,0,,,,,
acostma01,2010,1,NYN,NL,P,41,0,119,2,3,0,1,,,,,
adamsmi03,2010,1,SDN,NL,P,70,0,200,4,6,0,0,,,,,
affelje01,2010,1,SFN,NL,P,53,0,150,3,15,3,0,,,,,
albaljo01,2010,1,NYA,AL,P,10,0,34,0,2,0,0,,,,,
alberma01,2010,1,BAL,AL,P,62,0,227,6,15,1,3,,,,,
aldrico01,2010,1,LAA,AL,OF,5,3,87,5,0,0,0,,,,,
alfonel01,2010,1,SEA,AL,C,12,10,273,54,2,2,0,0,,2,2,
allenbr01,2010,1,ARI,NL,1B,4,2,52,14,0,0,2,,,,,
allenbr01,2010,1,ARI,NL,OF,14,14,311,27,0,0,0,,,,,
alonsyo01,2010,1,CIN,NL,1B,6,3,90,24,4,2,5,,,,,
alvarpe01,2010,1,PIT,NL,3B,94,94,2444,61,198,17,17,,,,,
ambrihe01,2010,1,CLE,AL,P,34,0,145,1,7,0,0,,,,,
anderbr04,2010,1,OAK,AL,P,19,19,337,4,31,1,1,,,,,
anderbr05,2010,1,SLN,NL,C,8,6,165,40,4,1,0,0,,5,1,
anderga01,2010,1,LAN,NL,OF,34,25,703,38,2,2,0,,,,,
anderla03,2010,1,BOS,AL,1B,18,11,333,96,9,0,9,,,,,
andinro01,2010,1,BAL,AL,2B,8,5,150,6,10,0,1,,,,,
andinro01,2010,1,BAL,AL,3B,6,6,150,6,4,0,1,,,,,
andinro01,2010,1,BAL,AL,SS,7,5,126,5,14,1,3,,,,,
