year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
2010,AL,LAA,ANA01,2010-04-05,2010-09-29,81,81,3250754
2010,NL,ARI,PHO01,2010-04-05,2010-09-26,81,81,2057224
2010,NL,ATL,ATL02,2010-04-05,2010-10-03,81,81,2510121
2010,AL,BAL,BAL12,2010-04-09,2010-10-03,81,80,1733019
2010,AL,BOS,BOS07,2010-04-04,2010-10-03,81,81,3046445
2010,AL,CHA,CHI12,2010-04-05,2010-10-03,81,81,2194378
2010,NL,CHN,CHI11,2010-04-12,2010-09-26,81,81,3062973
2010,NL,CIN,CIN09,2010-04-05,2010-10-03,81,81,2060550
2010,AL,CLE,CLE08,2010-04-12,2010-09-29,81,80,1391644
2010,NL,COL,DEN02,2010-04-09,2010-09-29,81,80,2875245
2010,AL,DET,DET05,2010-04-09,2010-09-26,81,81,2461237
2010,NL,FLO,MIA01,2010-04-09,2010-10-03,78,78,1469216
2010,NL,FLO,SJU01,2010-06-28,2010-06-30,3,3,55678
2010,NL,HOU,HOU03,2010-04-05,2010-10-03,81,81,2331490
2010,AL,KCA,KAN06,2010-04-05,2010-10-03,81,80,1615326
2010,NL,LAN,LOS03,2010-04-13,2010-10-03,81,81,3562318
2010,NL,MIL,MIL06,2010-04-05,2010-09-26,81,81,2776531
2010,AL,MIN,MIN04,2010-04-12,2010-10-03,81,81,3223640
2010,AL,NYA,NYC21,2010-04-13,2010-09-26,81,81,3765807
2010,NL,NYN,NYC20,2010-04-05,2010-10-03,81,79,2573077
2010,AL,OAK,OAK01,2010-04-05,2010-09-26,81,81,1418391
2010,NL,PHI,PHI13,2010-04-12,2010-09-26,81,81,3647249
2010,NL,PIT,PIT08,2010-04-05,2010-09-26,81,81,1613399
2010,NL,SDN,SAN02,2010-04-12,2010-09-30,81,81,2131774
2010,AL,SEA,SEA03,2010-04-12,2010-10-03,81,81,2085168
2010,NL,SFN,SFO03,2010-04-09,2010-10-03,81,81,3037267
2010,NL,SLN,STL10,2010-04-12,2010-10-03,81,81,3301218
2010,AL,TBA,STP01,2010-04-06,2010-09-29,81,81,1865002
2010,AL,TEX,ARL02,2010-04-05,2010-10-03,81,81,2505171
2010,AL,TOR,PHI13,2010-06-25,2010-06-27,3,3,130073
2010,AL,TOR,TOR02,2010-04-12,2010-09-29,78,78,1495482
2010,NL,WAS,WAS11,2010-04-05,2010-09-29,81,81,1828065
2011,AL,LAA,ANA01,2011-04-08,2011-09-28,81,81,3166321
2011,NL,ARI,PHO01,2011-04-08,2011-09-28,81,81,2105432
2011,NL,ATL,ATL02,2011-04-08,2011-09-28,81,79,2372940
2011,AL,BAL,BAL12,2011-04-04,2011-09-28,81,80,1755461
2011,AL,BOS,BOS07,2011-04-08,2011-09-21,81,81,3054001
2011,AL,CHA,CHI12,2011-04-07,2011-09-28,81,81,2001117
2011,NL,CHN,CHI11,2011-04-01,2011-09-21,81,81,3017966
2011,NL,CIN,CIN09,2011-03-31,2011-09-21,81,81,2213588
2011,AL,CLE,CLE08,2011-04-01,2011-09-25,81,81,1840835
2011,NL,COL,DEN02,2011-04-01,2011-09-21,81,81,2909777
2011,AL,DET,DET05,2011-04-08,2011-09-28,81,81,2642045
2011,NL,FLO,MIA01,2011-04-01,2011-09-28,78,77,1477462
2011,NL,FLO,SEA03,2011-06-24,2011-06-26,3,3,43100
2011,NL,HOU,HOU03,2011-04-08,2011-09-28,81,81,2067016
2011,AL,KCA,KAN06,2011-03-31,2011-09-21,81,81,1724450
2011,NL,LAN,LOS03,2011-03-31,2011-09-22,81,81,2935139
2011,NL,MIL,MIL06,2011-04-04,2011-09-28,81,81,3071373
2011,AL,MIN,MIN04,2011-04-08,2011-09-28,81,81,3168116
2011,AL,NYA,NYC21,2011-03-31,2011-09-25,81,81,3653680
2011,NL,NYN,NYC20,2011-04-08,2011-09-28,81,78,2352596
2011,AL,OAK,OAK01,2011-04-01,2011-09-22,81,80,1476791
2011,NL,PHI,PHI13,2011-04-01,2011-09-22,81,81,3680718
2011,NL,PIT,PIT08,2011-04-07,2011-09-25,81,80,1940429
2011,NL,SDN,SAN02,2011-04-05,2011-09-28,81,81,2143018
2011,AL,SEA,SEA03,2011-04-08,2011-09-28,81,81,1896321
2011,NL,SFN,SFO03,2011-04-08,2011-09-28,81,81,3387303
2011,NL,SLN,STL10,2011-03-31,2011-09-25,81,81,3093954
2011,AL,TBA,STP01,2011-04-01,2011-09-28,81,81,1529188
2011,AL,TEX,ARL02,2011-04-01,2011-09-25,81,81,2946949
2011,AL,TOR,TOR02,2011-04-01,2011-09-22,81,81,1818103
2011,NL,WAS,WAS11,2011-03-31,2011-09-25,80,78,1940478
2012,AL,LAA,ANA01,2012-04-06,2012-09-27,81,81,3061770
2012,NL,ARI,PHO01,2012-04-06,2012-10-03,81,81,2177617
2012,NL,ATL,ATL02,2012-04-13,2012-09-30,81,81,2420171
2012,AL,BAL,BAL12,2012-04-06,2012-09-30,81,79,2102240
2012,AL,BOS,BOS07,2012-04-13,2012-09-26,81,81,3043003
2012,AL,CHA,CHI12,2012-04-13,2012-09-30,81,81,1965955
2012,NL,CHN,CHI11,2012-04-05,2012-10-03,81,81,2882756
2012,NL,CIN,CIN09,2012-04-05,2012-09-27,81,81,2347251
2012,AL,CLE,CLE08,2012-04-05,2012-10-03,81,81,1603596
2012,NL,COL,DEN02,2012-04-09,2012-09-27,81,81,2630458
2012,AL,DET,DET05,2012-04-05,2012-09-27,81,81,3028033
2012,NL,HOU,HOU03,2012-04-06,2012-09-26,81,81,1607733
2012,AL,KCA,KAN06,2012-04-13,2012-10-03,81,80,1739859
2012,NL,LAN,LOS03,2012-04-10,2012-10-03,81,81,3324246
2012,NL,MIA,MIA02,2012-04-04,2012-10-03,81,81,2219444
2012,NL,MIL,MIL06,2012-04-06,2012-10-03,81,81,2831385
2012,AL,MIN,MIN04,2012-04-09,2012-09-30,81,81,2776354
2012,AL,NYA,NYC21,2012-04-13,2012-10-03,81,81,3542406
2012,NL,NYN,NYC20,2012-04-05,2012-09-27,81,80,2242803
2012,AL,OAK,OAK01,2012-04-06,2012-10-03,79,79,1591395
2012,AL,OAK,TOK01,2012-03-28,2012-03-29,2,2,87618
2012,NL,PHI,PHI13,2012-04-09,2012-09-27,81,81,3565718
2012,NL,PIT,PIT08,2012-04-05,2012-10-03,81,80,2091918
2012,NL,SDN,SAN02,2012-04-05,2012-09-30,81,81,2123721
2012,AL,SEA,SEA03,2012-04-13,2012-10-03,81,81,1721920
2012,NL,SFN,SFO03,2012-04-13,2012-09-27,81,81,3377371
2012,NL,SLN,STL10,2012-04-13,2012-10-03,81,81,3262109
2012,AL,TBA,STP01,2012-04-06,2012-10-03,81,81,1559681
2012,AL,TEX,ARL02,2012-04-06,2012-09-30,81,81,3460280
